name,age,gender,education,income,country,purchase_frequency,annual_spending,cluster
Robert Roman,18,Female,High School,90376,Timor-Leste,0.3,3455.64,1
Kenneth Evans,32,Male,PhD,70060,Guatemala,0.8,15602.4,0
Edward Ewing,18,Female,Bachelor,69970,Fiji,0.1,1349.85,1
Raymond Adkins,57,Female,High School,96390,Tonga,0.6,11291.7,0
Hayley Powell DVM,63,Female,Master,79495,Iraq,0.3,6892.425,1
Lindsay Hopkins,56,Male,Master,33534,Tonga,0.2,3735.34,1
Maria Torres,35,Male,Bachelor,37813,Croatia,0.7,9023.455,0
Jeffrey Moreno,31,Female,Bachelor,75203,Gabon,0.9,15084.135,0
James Owens,50,Male,High School,82208,Pakistan,0.2,2822.08,1
Rebecca Blevins,50,Female,PhD,43419,Norway,0.8,17736.76,0
Chelsea French,53,Female,Bachelor,74554,Cape Verde,0.5,10363.85,0
Andrew Farmer,42,Male,Master,50613,Anguilla,0.8,14024.52,0
Lisa Romero,33,Female,PhD,73776,Trinidad and Tobago,0.1,2168.88,1
Dominic Vargas,46,Male,PhD,78468,Mozambique,0.4,8769.36,1
Ebony Howell,45,Male,Master,82551,Bahamas,0.8,15302.04,0
William Powell,27,Male,PhD,57161,Afghanistan,0.6,11314.83,0
Christopher Woods,59,Female,Bachelor,88469,Germany,0.2,4284.69,1
Micheal Williams,30,Female,High School,27732,Maldives,0.3,3415.98,1
Thomas Williams,39,Male,Master,41018,Nigeria,0.8,13640.72,0
Jared Adams,42,Male,PhD,85024,Aruba,0.4,8900.48,1
Tracy Johnston,28,Female,High School,64428,Austria,0.9,11899.26,0
Laura Carter,30,Female,Bachelor,88053,Saint Barthelemy,0.9,15662.385,0
Rebecca Palmer,63,Female,Bachelor,84676,Greece,1.0,21233.8,0
Adrienne Buchanan,31,Female,High School,51846,Svalbard & Jan Mayen Islands,0.8,10073.84,0
Matthew Perry,56,Female,Bachelor,20067,Taiwan,0.1,1800.335,1
Richard Johnson,21,Male,Bachelor,78093,Philippines,1.0,11904.65,0
Olivia Johnson,32,Male,PhD,57538,North Macedonia,0.6,11326.14,0
Richard Michael,49,Male,Bachelor,68842,Mongolia,0.9,14797.89,0
Miguel Fowler,40,Female,PhD,77527,Botswana,0.6,14325.81,0
Virginia Huynh,47,Male,Bachelor,48806,Guyana,0.2,3088.06,1
Jerry Warren,27,Female,PhD,90856,Hong Kong,0.4,9017.12,1
Bradley Lowe,41,Male,High School,73233,Guadeloupe,0.4,5464.66,1
Daniel Kennedy,23,Female,PhD,90889,New Caledonia,0.4,7817.78,1
Jason Munoz,58,Male,Bachelor,89578,Guam,0.8,15583.12,0
Andrew Gould,37,Female,High School,30260,Myanmar,1.0,13513.0,0
Gary Smith,64,Female,High School,46732,Swaziland,0.7,11435.62,0
Katherine Grant,57,Female,Master,30972,Algeria,0.1,2054.86,1
Anthony Brown,33,Male,Master,40103,Portugal,0.8,12004.12,0
Paul Williams,34,Male,PhD,56497,Tanzania,0.4,7529.94,1
Robin Solis MD,42,Female,Master,49924,Norway,1.0,19496.2,0
Elizabeth Castillo DVM,34,Male,High School,40288,Belgium,0.6,6008.64,1
Antonio Rodriguez,58,Female,High School,89116,Bahamas,0.8,14764.64,0
John Kelly,45,Female,PhD,23183,Germany,0.2,4231.83,1
Michael Stone,45,Male,Bachelor,24079,South Africa,0.2,2840.79,1
Tara Bean,63,Female,Bachelor,24166,Kuwait,0.5,9104.15,1
Joshua Brown,34,Female,High School,65065,Belize,0.5,6626.625,1
Derrick Miller,41,Male,High School,64400,Germany,0.9,11898.0,0
Kelly Beck,53,Male,Bachelor,84940,Slovenia,0.1,1924.7,1
Shaun Barnett,58,Female,Master,38044,Saint Vincent and the Grenadines,0.6,12541.32,0
Jody Williams,24,Female,High School,52967,Turkey,1.0,9648.35,0
Sheryl Cook,24,Male,Bachelor,83605,Cuba,0.1,1218.025,1
Joseph Caldwell,51,Male,Master,32689,Algeria,0.9,16771.005,0
Morgan Williams,63,Male,Bachelor,50166,British Indian Ocean Territory (Chagos Archipelago),0.7,12255.81,0
Jeffrey Nicholson,30,Female,Master,40704,Poland,0.5,8517.6,1
Erin Proctor,64,Female,Bachelor,48320,Czech Republic,0.8,15532.8,0
Nicholas Moore,38,Male,Master,93544,Togo,0.1,1967.72,1
Jonathon Lara,23,Female,Master,62371,Barbados,0.1,1511.855,1
Carla Nielsen,23,Male,Master,35028,Gabon,0.3,3525.42,1
Scott Thompson,63,Female,Bachelor,87201,Chile,0.9,19224.045,0
Seth Vaughan,40,Female,High School,74344,Central African Republic,0.9,14145.48,0
Alexandra Baker,52,Female,High School,30534,Sri Lanka,1.0,15526.7,0
Tony Jones,47,Female,Bachelor,58871,Netherlands Antilles,0.4,7177.42,1
Thomas Young,58,Female,Master,24108,United States of America,0.1,2020.54,1
Debra Fleming,18,Female,High School,61040,Zambia,0.6,6031.2,1
Emily Ortiz,53,Female,High School,52612,Andorra,0.9,14967.54,0
Jennifer Hayes,26,Female,High School,70936,Congo,0.7,9482.76,0
David Simmons,35,Male,Master,60992,Cook Islands,0.9,14444.64,0
Samantha Jones,49,Female,High School,75529,Palau,0.6,9465.87,0
Taylor Peterson,28,Male,Bachelor,82563,Congo,0.7,10589.705,0
Joshua Grant,19,Male,High School,60409,Fiji,0.2,1604.09,1
David Lee,29,Male,PhD,21991,Svalbard & Jan Mayen Islands,0.6,10259.73,1
Virginia Wolfe,51,Female,High School,89118,Cote d'Ivoire,0.4,7382.36,1
William Davidson,49,Female,Master,72981,Saint Martin,0.7,14454.335,0
Anna Schroeder,48,Male,Bachelor,88712,Jamaica,0.6,10461.36,0
James Henderson,30,Male,Bachelor,49007,United States Minor Outlying Islands,0.5,6725.175,1
Steven Wagner,27,Male,Master,91325,Cook Islands,0.1,1756.625,1
Steven Novak,29,Male,PhD,40557,Guinea,0.4,7211.14,1
Sean Evans,53,Male,Bachelor,52499,Norfolk Island,0.9,15862.455,0
Charles Molina,37,Male,PhD,46186,Italy,0.1,2030.93,1
Cynthia Oneal,44,Male,PhD,86260,Moldova,0.7,15619.1,0
Nathaniel Peters,31,Female,PhD,33505,El Salvador,0.3,5902.575,1
Daniel Chen,23,Male,High School,21382,Congo,0.4,2427.64,1
Benjamin Murphy,65,Female,PhD,56148,Panama,0.7,17365.18,0
John White,40,Female,Master,30044,Colombia,0.3,5550.66,1
Brian Moreno,55,Male,Bachelor,25943,Bahrain,0.1,1629.715,1
Matthew Duncan,50,Male,PhD,52635,Palestinian Territory,0.8,16505.4,0
Shannon Hogan,63,Male,Master,21768,Liechtenstein,1.0,18088.4,0
Steven Klein,27,Female,Master,68106,Moldova,0.5,9202.65,1
Christopher Collins,50,Female,Bachelor,22949,Ireland,0.8,12917.96,0
Kendra Mcclain,64,Male,PhD,64482,Slovenia,0.8,18579.28,0
Juan Wade,37,Female,Bachelor,82317,Bangladesh,0.5,9557.925,1
Alyssa Christensen,62,Female,Master,99048,Tonga,0.7,16766.68,0
Leslie Esparza,43,Female,Master,94017,United States of America,0.4,8680.34,1
Dan Frank,30,Female,Bachelor,54754,Marshall Islands,0.9,14163.93,0
Bonnie Rojas,28,Male,PhD,64789,French Polynesia,0.5,9619.725,1
Charlotte Fuentes,45,Female,PhD,89038,Maldives,0.1,2445.19,1
Jessica Johnson,64,Male,Master,80138,Malta,0.2,4201.38,1
Chelsea Allen,19,Male,High School,53600,Brunei Darussalam,0.1,768.0,1
Jeffrey Brown,31,Male,Bachelor,67235,Lao People's Democratic Republic,1.0,14361.75,0
Mary Welch,35,Male,High School,22706,Comoros,1.0,9135.3,0
Benjamin Simmons,28,Female,Bachelor,71517,Peru,0.8,13260.68,0
Terry Meza,65,Female,Master,31509,Djibouti,1.0,20575.45,0
Justin Herrera,45,Male,High School,42569,Russian Federation,0.1,1212.845,1
Michelle Schneider,56,Female,Master,47343,Netherlands Antilles,0.7,14957.005,0
Holly Sweeney,30,Female,Bachelor,43437,Bahrain,0.8,12137.48,0
Marissa Lin,60,Male,PhD,96913,Pakistan,0.4,9938.26,0
Tammy Kennedy,18,Male,PhD,99230,Antarctica (the territory South of 60 deg S),0.1,1796.15,1
Jared Vazquez,59,Male,High School,74961,Norway,0.5,7874.025,1
James Howard,39,Male,High School,64450,Reunion,0.3,3966.75,1
Rodney Bowen,38,Female,PhD,83078,Mozambique,1.0,24153.9,0
Aaron Hughes,39,Female,High School,80117,Swaziland,0.3,4801.755,1
Olivia Petty,24,Female,PhD,99692,Algeria,0.8,15987.68,0
John Lewis,44,Male,PhD,36567,Mongolia,0.2,3965.67,1
Nicole Cook DDS,55,Male,Bachelor,83213,Mauritania,0.5,9580.325,0
Ashley Cruz,61,Male,PhD,54370,Niger,0.5,11359.25,0
Pamela Cunningham,25,Female,High School,21058,Guinea,0.1,805.29,1
Kelly Graves,56,Male,Bachelor,36104,Sri Lanka,0.7,11763.64,0
Jeff Smith,42,Female,High School,61063,Turkmenistan,0.3,4515.945,1
Samantha Mathews,23,Female,Bachelor,26384,Saint Barthelemy,0.4,4527.68,1
Joshua Johnson,44,Male,High School,98522,Bahamas,0.7,10448.27,0
Brian Houston,26,Female,PhD,73047,Russian Federation,0.9,19487.115,0
Justin Smith,21,Female,Bachelor,93474,Guernsey,0.3,4402.11,1
Regina Reilly,59,Male,Bachelor,31702,Peru,1.0,16585.1,0
Kevin Ruiz,48,Female,Master,53123,North Macedonia,0.4,7862.46,1
Robert Stone,43,Male,High School,88612,Cyprus,0.2,2886.12,1
Maria Smith,18,Female,Bachelor,38461,Rwanda,0.9,10730.745,0
George Herrera,26,Male,Master,20842,Pitcairn Islands,0.6,8425.26,1
Christopher Mcdaniel,27,Female,High School,31290,Bermuda,0.6,6938.7,1
Michael Silva,31,Female,PhD,63491,United Kingdom,0.8,16939.64,0
Lisa King,48,Male,High School,61356,Micronesia,0.8,10454.24,0
Vincent Ballard,42,Female,PhD,92257,Sierra Leone,0.7,17228.995,0
Jacob Park,51,Male,Bachelor,38838,Ukraine,0.7,11859.33,0
Tina Sanders,50,Female,Bachelor,29236,Ukraine,0.3,4938.54,1
Jamie King,27,Male,PhD,94082,Western Sahara,0.2,4140.82,1
Nathaniel Martinez III,60,Male,Master,94093,Greenland,0.5,10852.325,0
Julia Keller,40,Female,PhD,97525,Timor-Leste,0.6,14925.75,0
Bryan Hood,65,Female,Master,50447,Sweden,0.9,19370.115,0
Amber Martinez,20,Female,Master,64861,Congo,0.9,13718.745,0
Jerry Gonzales,18,Male,High School,82297,Uganda,0.2,1822.97,1
Maureen Castro,41,Female,Bachelor,91532,Nepal,0.1,1957.66,1
Adam Nelson,51,Male,High School,94698,Namibia,0.6,10040.94,0
Regina Douglas,20,Female,Bachelor,64683,Austria,0.5,6617.075,1
Randy Gregory,49,Female,PhD,20170,Nauru,0.4,8403.4,1
Cindy Graham,59,Female,Master,41065,Lebanon,0.1,2105.325,1
Yolanda Thompson,65,Female,Bachelor,70498,Saudi Arabia,0.5,10262.45,0
Michele Villa,61,Female,Bachelor,23577,Sweden,0.8,14543.08,0
Jessica Nguyen,57,Male,PhD,61320,Uganda,1.0,23066.0,0
Mary Hughes,38,Female,Bachelor,87161,Japan,0.7,13550.635,0
Michael Byrd,43,Male,Master,69936,Somalia,0.5,9248.4,1
Douglas Anderson,33,Male,Master,51692,Costa Rica,0.9,14026.14,0
Angela Soto,55,Female,PhD,51216,Saint Lucia,1.0,24560.8,0
Deborah Summers,39,Male,Master,51925,French Southern Territories,0.3,5278.875,1
Nicole Gray,34,Male,High School,78575,Afghanistan,0.8,9543.0,0
Shannon Davis,31,Male,Master,99329,Mongolia,0.4,7186.58,1
Erin Osborne,63,Male,PhD,47563,Ecuador,0.5,11189.075,0
Jason Smith,42,Female,Bachelor,66392,United Arab Emirates,0.7,12823.72,0
Jordan Thomas,38,Male,High School,45177,Palestinian Territory,0.4,4903.54,1
Abigail Hood,56,Male,PhD,30608,Namibia,0.5,10765.2,0
Frank Allen,50,Female,PhD,75021,Saint Lucia,0.6,14250.63,0
Veronica Miller,61,Female,High School,35077,Sweden,0.1,1575.385,1
Vanessa Burns,39,Male,Master,93240,Norfolk Island,0.8,15729.6,0
Douglas Owens,37,Female,PhD,69148,Colombia,0.4,9382.96,1
Lynn Andrade,61,Male,High School,31959,Sweden,0.9,12238.155,0
Catherine Nelson PhD,19,Female,High School,93860,Uzbekistan,0.4,4677.2,1
Amber Church,19,Male,High School,60906,Isle of Man,0.2,1609.06,1
Clayton Weber,55,Female,Bachelor,95467,Ukraine,1.0,21773.35,0
Jamie Harmon,51,Male,Master,58729,Ecuador,0.3,5980.935,1
Donald Juarez,29,Male,Bachelor,37052,British Virgin Islands,0.4,5141.04,1
Mariah Ayala,34,Female,Master,39040,Sri Lanka,1.0,16952.0,0
Nicole Haynes,35,Male,High School,37871,Luxembourg,0.7,6925.485,1
Kathleen Miller,29,Male,High School,66065,Bahamas,0.9,10172.925,0
Amy Smith,60,Female,Bachelor,55501,Tajikistan,0.2,3955.01,1
Lindsay Mendez,64,Female,Bachelor,20533,Nicaragua,0.3,5407.995,1
Ann Gates,31,Male,PhD,36666,Greece,0.3,5349.99,1
Robert Conley,49,Male,Master,48834,Papua New Guinea,0.3,5232.51,1
Sharon Brown,47,Female,PhD,50335,Kiribati,0.5,11258.375,0
Gregory Morgan,61,Male,High School,65849,Marshall Islands,0.8,12233.96,0
Ryan Yang,35,Female,Master,48556,Marshall Islands,0.5,8713.9,1
Dennis Garcia,53,Female,High School,42963,Zambia,0.7,11303.705,0
Elizabeth Smith,25,Male,Bachelor,80400,Kazakhstan,0.3,3606.0,1
Rachel Haney,45,Female,Bachelor,43283,Turkmenistan,0.2,3432.83,1
Steve Stewart,34,Female,Master,69305,Taiwan,0.9,16618.725,0
Derek Weber,21,Female,PhD,70325,Saint Kitts and Nevis,0.9,16664.625,0
Russell Huffman,26,Male,High School,60028,Saudi Arabia,1.0,11001.4,0
Amy Brown,46,Female,Bachelor,81434,Taiwan,0.4,7628.68,1
Peter Garcia,43,Male,High School,90163,Ethiopia,0.7,10155.705,0
Andre Boyd,25,Female,Bachelor,24231,Antigua and Barbuda,0.4,4484.62,1
Chelsea Mora,32,Male,High School,98447,Jordan,0.7,9045.645,0
Luis Marsh,44,Male,Bachelor,88896,Indonesia,0.4,6977.92,1
Jeffrey Ramos,31,Female,High School,45095,Madagascar,0.2,2450.95,1
Casey Graves,50,Male,Bachelor,92120,Saint Kitts and Nevis,1.0,17606.0,0
Patrick Gilbert,51,Female,PhD,54353,Bermuda,0.8,19774.12,0
Tyler Cardenas,58,Male,Master,65268,Russian Federation,0.4,8105.36,1
Laura Coleman,62,Male,Bachelor,77742,North Macedonia,0.4,7554.84,1
Rachel Miller,51,Male,High School,38788,Guam,0.4,5575.76,1
Chloe Case,47,Female,High School,99203,Northern Mariana Islands,0.5,8480.075,1
Carrie Johnson,59,Female,PhD,63128,Nigeria,0.5,12578.2,0
Timothy Miranda,60,Male,High School,85056,Suriname,0.6,9751.68,0
Mr. Nicholas Mason,57,Male,Bachelor,37838,Bulgaria,0.7,11824.33,0
Rachel White,33,Male,PhD,57081,Saudi Arabia,0.3,5656.215,1
Billy Myers,51,Female,Bachelor,35172,United Kingdom,0.9,16882.74,0
Kara Brewer,38,Female,High School,67119,Albania,0.4,6142.38,1
Ashley Greene,30,Female,PhD,69656,Palau,0.7,15037.96,0
Cindy Harrison,20,Male,PhD,30106,Iceland,0.5,7252.65,1
Raymond Brown,58,Male,Bachelor,98952,Guatemala,0.8,15958.08,0
Laura Howard,40,Male,Bachelor,95054,Micronesia,0.7,12426.89,0
Jason Martinez,34,Male,High School,40680,Gambia,0.3,3010.2,1
Victor Allen,46,Female,Bachelor,25021,Comoros,0.5,8125.525,1
John Phelps III,48,Male,Master,32913,Lebanon,0.2,3329.13,1
Kristin Cuevas,49,Male,High School,23946,United States Virgin Islands,1.0,11197.3,0
Makayla Butler,23,Female,Master,96787,Syrian Arab Republic,0.5,8419.675,1
Connie Thomas,62,Female,Bachelor,51141,Qatar,0.2,3911.41,1
Charles White,61,Male,PhD,51875,Swaziland,0.1,2259.375,1
Crystal Strickland,32,Male,Bachelor,40230,Morocco,1.0,13011.5,0
Tyrone Wilson,57,Male,High School,33841,Cook Islands,0.5,6846.025,1
Kristy Hunter,24,Female,PhD,95654,Mozambique,0.5,9891.35,1
Melissa Johnson,55,Female,High School,29796,Mauritania,0.3,4646.94,1
Tanya Brown,46,Male,Master,63628,Montserrat,0.5,9090.7,1
Jeffery Delacruz,58,Female,PhD,22906,Jamaica,0.5,11572.65,0
Rebecca Phelps,59,Male,Bachelor,31684,Jordan,1.0,16584.2,0
Karen Bridges,64,Male,Bachelor,88536,Ghana,0.4,7770.72,1
Jennifer Sherman,46,Female,High School,52831,Luxembourg,0.7,10249.085,0
Dawn Davies,55,Male,Master,94643,Hungary,0.9,19558.935,0
Patrick Watkins,42,Male,Master,32443,Saint Vincent and the Grenadines,0.8,13297.72,0
Jeremy Costa,59,Female,Bachelor,54317,Poland,0.5,9857.925,0
Jennifer Coleman,23,Female,Bachelor,78974,Korea,0.1,1394.87,1
Ryan Hall,42,Female,High School,57400,Mozambique,0.9,13383.0,0
Brandy Grant DDS,57,Female,PhD,94573,Saint Helena,0.9,24055.785,0
Joseph Wells,30,Male,High School,54968,Netherlands,0.2,2149.68,1
Mary Wright,42,Female,Bachelor,83543,Syrian Arab Republic,0.8,15341.72,0
Kristopher Brown,34,Female,Bachelor,99780,Paraguay,0.8,14391.2,0
John Riley,35,Male,High School,47230,Benin,0.6,6216.9,1
Heather Williams,34,Male,High School,77157,Armenia,0.5,5928.925,1
Michael Brown,38,Male,Master,73779,Cuba,0.3,5606.685,1
Bryan Gonzalez,59,Male,Bachelor,66856,Fiji,0.8,14674.24,0
Zachary Mason,46,Male,Master,76057,Guam,0.7,13161.995,0
Karen Rodriguez,44,Female,High School,31507,Madagascar,0.9,12217.815,0
Linda Savage,46,Male,High School,22038,El Salvador,0.9,9991.71,0
Nicole Lee,62,Female,PhD,51122,Nigeria,0.7,17189.27,0
Stephanie Martinez,58,Male,PhD,27508,Greenland,0.5,10687.7,0
Nicholas Thornton,56,Male,Master,56511,French Polynesia,0.9,17842.995,0
Megan Vasquez,25,Female,High School,38933,Libyan Arab Jamahiriya,0.1,894.665,1
William Rodriguez,23,Female,Master,79288,Mauritius,0.4,6385.76,1
Kyle Anderson,33,Female,PhD,54278,Bahamas,0.9,18642.51,0
Timothy Mccann,28,Female,PhD,21946,Lesotho,0.2,3819.46,1
Cheryl May,18,Male,Master,47226,Reunion,0.5,6180.65,1
Vanessa Barnett,52,Male,Master,32127,Guam,0.2,3721.27,1
Daniel Martin,52,Female,High School,52222,France,0.2,3322.22,1
Christy Hays,61,Male,PhD,41702,Kenya,0.3,6625.53,1
Patty Stokes,47,Female,Bachelor,77652,Nepal,1.0,18882.6,0
Heather Mccarthy,19,Female,High School,36082,Argentina,0.2,1760.82,1
Michael Davis,37,Male,PhD,47349,India,0.5,10183.725,1
Johnny Torres,64,Female,Bachelor,80701,Bahrain,1.0,21035.05,0
Samuel Vance,50,Female,Bachelor,75766,Palau,0.1,1878.83,1
Joshua Craig,55,Female,Bachelor,57131,Saint Kitts and Nevis,0.6,11913.93,0
Sarah Rowe,50,Female,PhD,81283,Romania,0.5,12032.075,0
Oscar Johnson,40,Female,Bachelor,44445,Lao People's Democratic Republic,0.4,6888.9,1
Rhonda Molina,47,Female,High School,68799,Angola,0.8,12351.96,0
Robert Davis,57,Female,Bachelor,22754,Cameroon,0.2,3627.54,1
Robert Hoffman,47,Male,Bachelor,70944,Congo,1.0,16547.2,0
Tyler Brown,39,Male,High School,84427,Madagascar,0.7,9954.945,0
Bradley Boyd,47,Female,Master,21561,Malta,0.4,7231.22,1
Anthony Thompson,54,Male,High School,84271,Ethiopia,0.3,4864.065,1
Caitlin Shelton,60,Male,PhD,56561,Congo,0.4,9131.22,1
Kim Spencer,23,Female,High School,91375,Guyana,0.8,9255.0,0
John Hogan,63,Female,High School,45910,Nicaragua,1.0,16295.5,0
Jackie Roberts,36,Female,PhD,87348,Israel,0.5,12183.7,0
Daniel Fox,22,Male,High School,65368,Central African Republic,0.7,5787.88,1
David Serrano,59,Female,PhD,50435,Italy,0.5,12260.875,0
Willie Tyler,49,Female,High School,77006,Monaco,0.5,7925.15,1
Matthew Duffy,61,Female,Bachelor,72308,Mexico,0.7,14430.78,0
Samantha Hansen,43,Female,PhD,91783,Haiti,0.6,14753.49,0
Samantha Roberts,37,Female,Bachelor,65437,Palestinian Territory,0.1,1827.185,1
Melinda Marshall,45,Female,PhD,60679,Angola,0.2,4606.79,1
Stephen Williamson,61,Male,Master,50282,French Guiana,0.7,13659.87,0
Katherine Hartman,19,Female,Bachelor,43992,Ethiopia,0.8,9759.68,0
Scott Kelly,22,Male,Bachelor,99160,Ukraine,0.1,1295.8,1
Douglas Hall,32,Male,High School,88182,Armenia,0.7,8686.37,0
James Miller,61,Female,Bachelor,57937,Ireland,0.7,13927.795,0
Connor Matthews,46,Female,High School,40892,Venezuela,0.8,11235.68,0
Elizabeth Diaz,28,Male,High School,82075,Lesotho,0.5,6051.875,1
Kenneth Frazier,64,Female,Master,71273,French Southern Territories,0.1,2256.365,1
Andrew Davis,55,Female,Master,80464,Serbia,0.2,4604.64,1
Amy Thomas,21,Female,Bachelor,79609,Saint Barthelemy,0.5,6990.225,1
Misty Hayes,53,Male,PhD,28918,Peru,0.7,15012.13,0
Christie Huffman,20,Male,High School,68345,Israel,0.1,841.725,1
Jennifer Joseph,36,Female,High School,20153,Zimbabwe,0.1,1300.765,1
Lisa Shelton,57,Male,Bachelor,97851,Azerbaijan,0.3,5967.765,1
Brent Park,48,Male,Bachelor,22650,Gibraltar,0.9,12719.25,0
Kyle Palmer,26,Male,High School,28561,Cayman Islands,1.0,9428.05,0
Caleb Sullivan,60,Male,Bachelor,33121,Canada,0.8,13324.84,0
Brenda Bonilla,45,Male,High School,82073,Seychelles,0.8,11282.92,0
Shaun Jackson,50,Male,High School,38113,Tonga,0.6,7143.39,1
Mary Hill,64,Female,Bachelor,30583,Guam,0.9,16676.235,0
Kaitlin Murphy,20,Male,High School,69563,Wallis and Futuna,0.6,5086.89,1
Tina Simmons,51,Female,PhD,60201,Zambia,0.4,10004.02,1
Gordon Jacobson,54,Male,Bachelor,99292,Guyana,0.7,13975.22,0
Anthony Fox,41,Female,Master,86244,Libyan Arab Jamahiriya,0.6,12787.32,0
Robert Short,19,Male,High School,38759,Tuvalu,0.5,3468.975,1
Jacob Erickson,65,Male,Bachelor,44407,British Indian Ocean Territory (Chagos Archipelago),0.2,3444.07,1
Brittney Cohen,49,Female,Bachelor,56112,Comoros,0.5,8902.8,1
Alicia Duncan,26,Male,Bachelor,66045,Libyan Arab Jamahiriya,0.6,8581.35,1
Robert Freeman,30,Male,PhD,38954,Brazil,0.5,8973.85,1
Jimmy Bowen,38,Male,High School,51845,Philippines,0.6,7555.35,1
Susan Carroll,43,Male,Master,70837,Martinique,0.9,16687.665,0
Katelyn Snyder,40,Male,Master,50352,British Indian Ocean Territory (Chagos Archipelago),0.7,12262.32,0
Aaron Martin,20,Female,Master,40872,South Georgia and the South Sandwich Islands,0.5,7021.8,1
Matthew Moore,20,Female,High School,63899,Tonga,0.7,7136.465,1
Michael Weber,18,Female,Bachelor,43490,United States Minor Outlying Islands,0.5,6087.25,1
Michael Patrick,41,Male,Bachelor,85198,Georgia,0.4,6903.96,1
Katie Cunningham,54,Male,PhD,57376,Canada,0.1,2286.88,1
Edward Riggs,34,Male,High School,99532,Saint Pierre and Miquelon,0.3,3892.98,1
Cassandra Armstrong,39,Male,PhD,50697,French Guiana,1.0,20534.85,0
Robert Hernandez,53,Male,High School,91185,Canada,0.4,6623.7,1
Dana Roberts,47,Female,Master,65435,Mozambique,0.6,12163.05,0
Keith Williams,25,Male,PhD,67668,Faroe Islands,0.3,4915.02,1
Kathryn Leonard,48,Male,PhD,98627,Bouvet Island (Bouvetoya),0.1,2293.135,1
Stephen Jones,60,Male,PhD,74182,Saint Barthelemy,0.7,16596.37,0
Bryan Williams,28,Male,PhD,69974,Bhutan,0.8,15598.96,0
Anne Stewart,65,Male,Master,28279,Ireland,0.3,5524.185,1
Matthew Ramirez Jr.,54,Male,Master,44193,Saint Kitts and Nevis,0.2,3841.93,1
Jennifer Owens,27,Female,Bachelor,72157,Mauritania,0.5,8303.925,1
Brooke Nelson,51,Female,Master,90579,Morocco,0.7,16470.265,0
Ashley Marshall,49,Female,High School,52873,Rwanda,1.0,14643.65,0
Tammy Nguyen,38,Female,Master,57342,Netherlands,0.7,13906.97,0
Denise Manning,56,Male,PhD,87337,Turks and Caicos Islands,0.9,21930.165,0
Gregory Nixon,30,Female,Master,73303,New Caledonia,0.1,1866.515,1
Brian Fleming,19,Female,High School,56471,Bahamas,0.1,982.355,1
Ronald Tyler,19,Female,PhD,89930,Finland,0.6,11697.9,0
Melissa Atkins,53,Female,PhD,92860,Turkey,0.8,21314.4,0
James Brown,55,Male,High School,99582,Namibia,0.6,10187.46,0
Charles Henderson,31,Female,PhD,28740,Venezuela,0.4,7774.8,1
Brent Baker,24,Male,PhD,36870,Belize,0.8,11874.8,0
Jennifer Gutierrez,38,Female,Bachelor,84060,Norfolk Island,0.5,9601.5,1
Thomas Castro,49,Female,Bachelor,25887,Italy,0.6,9776.61,0
Connor Lee,50,Female,PhD,90137,Switzerland,1.0,24506.85,0
Jeffery Adams,24,Female,Bachelor,86048,Palestinian Territory,0.3,4290.72,1
Tiffany Reed,27,Male,Master,45501,Burkina Faso,0.1,1527.505,1
Ronald Carter,19,Female,PhD,30220,Ghana,1.0,16511.0,0
Stephanie Wagner,51,Male,Bachelor,81139,Nepal,1.0,19056.95,0
Olivia Leon,26,Female,High School,59644,Mayotte,0.6,7789.32,1
Jason Hayes MD,26,Female,Master,25604,Saint Pierre and Miquelon,0.6,9768.12,1
Wanda Wiley,24,Male,High School,60165,Saint Pierre and Miquelon,0.5,4004.125,1
Susan Juarez,55,Female,Bachelor,20931,Cayman Islands,0.8,14437.24,0
Daniel Baker,43,Female,Bachelor,31970,Czech Republic,0.7,11618.95,0
Jessica Bell,35,Female,PhD,84592,French Guiana,0.7,15560.72,0
Jessica Tate,27,Female,Bachelor,75585,Micronesia,0.4,6711.7,1
Katherine Dominguez,35,Male,Bachelor,80946,Korea,0.6,9028.38,0
Joshua Rowland,41,Female,PhD,65035,Georgia,0.4,9300.7,1
Kevin Hubbard,28,Female,Bachelor,64545,Luxembourg,0.4,6490.9,1
Christian Black,49,Male,High School,90344,Haiti,1.0,14517.2,0
Victor Baker,56,Female,Master,42831,Japan,0.2,4228.31,1
Daniel Wright,60,Female,Bachelor,55692,Denmark,0.6,11870.76,0
Sarah Gibson,60,Male,High School,69655,Bermuda,0.6,9289.65,0
Casey Mccoy,38,Female,Master,20197,Wallis and Futuna,0.4,7203.94,1
Ian Morris,60,Female,Bachelor,42250,Australia,0.9,17201.25,0
Anthony Moore,28,Female,Bachelor,30401,Honduras,0.9,13068.045,0
Amanda Cohen,34,Male,High School,69656,Nauru,0.2,2296.56,1
Sharon Savage,43,Female,PhD,38456,Rwanda,0.3,6576.84,1
Elizabeth Rodriguez,21,Male,Bachelor,35694,Latvia,0.7,6849.29,1
Paula Branch,56,Male,Master,30726,Libyan Arab Jamahiriya,1.0,18536.3,0
Dr. Cory Roth,55,Male,Bachelor,59600,Eritrea,0.7,12586.0,0
Sara Marquez,29,Female,Master,64265,Bolivia,0.3,5463.975,1
Kathleen Smith,59,Female,Master,43226,Congo,0.3,6348.39,1
Samuel Fowler,64,Male,Bachelor,88173,Barbados,0.6,11645.19,0
Candice Gilmore,61,Female,High School,63517,Georgia,0.9,15458.265,0
